city,type,name,budget,text
Paris,hotel,Hotel Le Marais Boutique,mid,"City: Paris | Type: hotel | Name: Hotel Le Marais Boutique | Budget level: mid | Review: Perfect location in Le Marais district. Clean rooms, friendly staff. €120/night including breakfast. Walking distance to Centre Pompidou and Place des Vosges. Highly recommended for couples."
Paris,hotel,Ibis Paris Gare de Lyon,budget,"City: Paris | Type: hotel | Name: Ibis Paris Gare de Lyon | Budget level: budget | Review: Great budget option near Gare de Lyon. €70/night, simple but clean. Metro access is excellent. Good for solo travelers on a tight budget."
Paris,hotel,Hotel de Crillon,luxury,"City: Paris | Type: hotel | Name: Hotel de Crillon | Budget level: luxury | Review: Magnificent 5-star palace hotel on Place de la Concorde. €800/night. Impeccable service, stunning views of the Champs-Élysées. Worth every euro for a special occasion."
Paris,hotel,Generator Paris Hostel,budget,"City: Paris | Type: hotel | Name: Generator Paris Hostel | Budget level: budget | Review: Best hostel in Paris near Canal Saint-Martin. Dorm beds from €25/night. Great social atmosphere, perfect for solo backpackers. Clean facilities, rooftop bar with Paris views."
Paris,restaurant,Le Comptoir du Relais,mid,"City: Paris | Type: restaurant | Name: Le Comptoir du Relais | Budget level: mid | Review: Classic French bistro in Saint-Germain. Excellent steak frites €18, amazing French onion soup €12. Always crowded but worth the wait. Authentic Parisian experience for couples."
Paris,restaurant,Café de Flore,mid,"City: Paris | Type: restaurant | Name: Café de Flore | Budget level: mid | Review: Iconic literary café on Boulevard Saint-Germain. Croque monsieur €14, café au lait €6. Historic atmosphere, famous for Sartre and de Beauvoir. Great for people watching."
Paris,restaurant,L'As du Fallafel,budget,"City: Paris | Type: restaurant | Name: L'As du Fallafel | Budget level: budget | Review: Best falafel in Paris in the Jewish Quarter. Only €7 for a giant falafel wrap. Vegetarian friendly, huge portions. Queue moves fast. Budget travelers love this place."
Paris,restaurant,Le Jules Verne,luxury,City: Paris | Type: restaurant | Name: Le Jules Verne | Budget level: luxury | Review: Michelin-starred restaurant inside the Eiffel Tower. Tasting menu from €230. Breathtaking views of Paris. Perfect for romantic dinner proposals. Book months in advance.
Paris,restaurant,Breizh Café,mid,"City: Paris | Type: restaurant | Name: Breizh Café | Budget level: mid | Review: Outstanding Breton crêperie in Le Marais. Galettes from €12, sweet crêpes from €8. Organic ingredients, cider from Brittany. Family-friendly atmosphere with kids menu."
Paris,attraction,Eiffel Tower,all,"City: Paris | Type: attraction | Name: Eiffel Tower | Budget level: all | Review: Must-see iconic landmark. Summit ticket €29.40, second floor €18.10. Go at sunset for magical views. Book online in advance to skip queues. Romantic for couples."
Paris,attraction,Louvre Museum,all,"City: Paris | Type: attraction | Name: Louvre Museum | Budget level: all | Review: World's largest art museum. Ticket €17, free under 18. See Mona Lisa, Venus de Milo, Winged Victory. Arrive early, allow 3-4 hours minimum. Family-friendly audio guides available."
Paris,attraction,Musée d'Orsay,all,"City: Paris | Type: attraction | Name: Musée d'Orsay | Budget level: all | Review: Impressionist masterpieces in a stunning former railway station. Ticket €16. Monet, Renoir, Van Gogh collections are world-class. Less crowded than Louvre. Perfect for art lovers."
Paris,attraction,Montmartre & Sacré-Cœur,budget,"City: Paris | Type: attraction | Name: Montmartre & Sacré-Cœur | Budget level: budget | Review: Free to visit the basilica, beautiful hilltop neighborhood. Street artists in Place du Tertre. Amazing panoramic views of Paris. Best explored on foot, romantic at sunset."
Paris,attraction,Palace of Versailles,mid,City: Paris | Type: attraction | Name: Palace of Versailles | Budget level: mid | Review: Stunning royal palace 30 min from Paris. Passport €21.50. Gardens free on weekdays. Allow full day. Hall of Mirrors is breathtaking. Book early morning to avoid crowds.
Paris,tip,Paris Budget Tips,budget,"City: Paris | Type: tip | Name: Paris Budget Tips | Budget level: budget | Review: Paris tips: Metro day pass €8.65, Paris Museum Pass €52/2days covers 60+ museums. Picnic at Champ de Mars with baguette, cheese, wine from local shops costs €10 total. Free Seine river banks walking."
London,hotel,The Hoxton Shoreditch,mid,"City: London | Type: hotel | Name: The Hoxton Shoreditch | Budget level: mid | Review: Trendy hotel in hipster Shoreditch neighborhood. Rooms from £150/night. Great rooftop bar, excellent breakfast. Easy tube access to everywhere. Loved by young couples and creatives."
London,hotel,YHA London Central,budget,"City: London | Type: hotel | Name: YHA London Central | Budget level: budget | Review: Best value hostel near Oxford Street. Dorms from £25/night, private rooms from £70. Clean facilities, great common areas. Perfect location for budget travelers and solo adventurers."
London,hotel,The Savoy,luxury,"City: London | Type: hotel | Name: The Savoy | Budget level: luxury | Review: Legendary 5-star hotel on the Strand since 1889. Rooms from £600/night. Afternoon tea in Thames Foyer is magical at £65/person. Impeccable service, unmatched London luxury experience."
London,restaurant,Dishoom King's Cross,mid,"City: London | Type: restaurant | Name: Dishoom King's Cross | Budget level: mid | Review: Brilliant Bombay-style café in London. Black dal is legendary, bacon naan roll for breakfast £9. Expect queues but they're worth it. Great for groups and families, buzzing atmosphere."
London,restaurant,Borough Market,budget,"City: London | Type: restaurant | Name: Borough Market | Budget level: budget | Review: London's greatest food market under London Bridge. Street food from £5-12. Neal's Yard cheese, Monmouth Coffee, fresh bread, international street food. Brilliant for solo foodies and couples."
London,restaurant,Gordon Ramsay Restaurant,luxury,"City: London | Type: restaurant | Name: Gordon Ramsay Restaurant | Budget level: luxury | Review: Three Michelin stars in Chelsea. Tasting menu £175. Impeccable French cuisine, exceptional wine list. Special occasion dining. Reserve well in advance. Dress code smart casual."
London,restaurant,Flat Iron Covent Garden,budget,City: London | Type: restaurant | Name: Flat Iron Covent Garden | Budget level: budget | Review: Amazing flat iron steaks for only £12 in Covent Garden. Simple concept done perfectly. Free popcorn while you wait. No reservations so arrive early. Budget beef lovers paradise.
London,attraction,British Museum,budget,"City: London | Type: attraction | Name: British Museum | Budget level: budget | Review: One of world's greatest museums, completely FREE. Rosetta Stone, Egyptian mummies, Greek Parthenon sculptures. Allow 3-4 hours. Perfect for families and history lovers. Great museum shop."
London,attraction,Tower of London,mid,City: London | Type: attraction | Name: Tower of London | Budget level: mid | Review: Historic fortress with Crown Jewels. Adult ticket £34.80. Yeoman Warder tours are brilliant. Allow 2-3 hours. Kids love the armour displays. Book online to save and skip queues.
London,attraction,National Gallery,budget,"City: London | Type: attraction | Name: National Gallery | Budget level: budget | Review: FREE world-class art gallery on Trafalgar Square. Van Gogh Sunflowers, Monet, da Vinci, Turner. Special exhibitions extra charge. Stunning building. Perfect rainy day activity for all."
London,attraction,Hyde Park & Kensington Gardens,budget,"City: London | Type: attraction | Name: Hyde Park & Kensington Gardens | Budget level: budget | Review: Beautiful free green space in central London. Serpentine Gallery free. Diana Memorial Playground for kids. Rowing boats for hire £15/hour. Perfect for picnics, cycling, running."
London,tip,London Budget Tips,budget,"City: London | Type: tip | Name: London Budget Tips | Budget level: budget | Review: London tips: Oyster card for cheaper tube fares. Many world-class museums are FREE (British Museum, V&A, Natural History, National Gallery, Tate Modern). Thames riverside walk free and beautiful."
Barcelona,hotel,Casa Camper Barcelona,mid,"City: Barcelona | Type: hotel | Name: Casa Camper Barcelona | Budget level: mid | Review: Unique design hotel in El Raval. Rooms from €140/night. Free 24-hour snack room, no restaurant surcharge. Eco-friendly ethos. Central location walking distance to La Boqueria and MACBA."
Barcelona,hotel,Generator Barcelona,budget,"City: Barcelona | Type: hotel | Name: Generator Barcelona | Budget level: budget | Review: Best hostel near Passeig de Gràcia. Dorms from €20/night. Rooftop pool in summer, amazing views. Social events, bar on site. Top choice for young solo travelers and backpackers."
Barcelona,hotel,Hotel Arts Barcelona,luxury,"City: Barcelona | Type: hotel | Name: Hotel Arts Barcelona | Budget level: luxury | Review: Iconic 5-star tower hotel on the beach. Rooms from €350/night. Two Michelin-starred restaurant, stunning pool. Celebrity favorite. Best views of Mediterranean from upper floors."
Barcelona,restaurant,Bar Cañete,mid,"City: Barcelona | Type: restaurant | Name: Bar Cañete | Budget level: mid | Review: Outstanding tapas bar in El Raval. Croquetas €3 each (best in Barcelona), jamón ibérico €18, patatas bravas €8. Standing bar or sit down. Locals and tourists mix perfectly here."
Barcelona,restaurant,La Boqueria Market,budget,"City: Barcelona | Type: restaurant | Name: La Boqueria Market | Budget level: budget | Review: Famous covered market on Las Ramblas. Fresh fruit juices €3, jamón sandwiches €5, fresh seafood, local cheeses. Arrive early to avoid tourist crowds. Best budget food experience in Barcelona."
Barcelona,restaurant,Tickets,luxury,City: Barcelona | Type: restaurant | Name: Tickets | Budget level: luxury | Review: Albert Adrià's avant-garde tapas bar near Paral·lel. Creative tasting menu €100+. Molecular gastronomy and playful Catalan cuisine. Book months ahead online. Unforgettable foodie experience.
Barcelona,restaurant,Cervecería Catalana,mid,"City: Barcelona | Type: restaurant | Name: Cervecería Catalana | Budget level: mid | Review: Perfect tapas on Carrer Mallorca in Eixample. Patatas bravas €7, grilled vegetables €9, seafood tapas from €8. Always busy, no reservations. Arrive at 1pm or 8pm to get a table."
Barcelona,attraction,Sagrada Família,mid,City: Barcelona | Type: attraction | Name: Sagrada Família | Budget level: mid | Review: Gaudí's masterpiece cathedral still under construction. Tickets €26-40 with tower access. Absolutely stunning interior with colored light. Book online weeks ahead. Allow 2 hours minimum.
Barcelona,attraction,Park Güell,mid,"City: Barcelona | Type: attraction | Name: Park Güell | Budget level: mid | Review: Gaudí's colorful park with famous mosaic terrace. Monumental Zone ticket €10, book online. Go early morning for fewer crowds. Panoramic city views. Free areas surrounding ticketed zone."
Barcelona,attraction,Camp Nou,mid,City: Barcelona | Type: attraction | Name: Camp Nou | Budget level: mid | Review: FC Barcelona's legendary stadium. Museum ticket €28 with stadium tour. Must for football fans. Interactive museum tells Club history. Gift shop has everything. Book tour online.
Barcelona,attraction,Barceloneta Beach,budget,"City: Barcelona | Type: attraction | Name: Barceloneta Beach | Budget level: budget | Review: Free urban beach in Barcelona. Volleyball courts, beach bars (chiringuitos), clear Mediterranean water. Very busy in summer. Watch sunset with cava from a local shop. Perfect free activity."
Barcelona,tip,Barcelona Budget Tips,budget,City: Barcelona | Type: tip | Name: Barcelona Budget Tips | Budget level: budget | Review: Barcelona tips: T-Casual metro card (10 trips €12.15) saves money. Menu del día lunch special €10-15 at local restaurants is excellent value. Many museums free on Sunday afternoons. Picnic at Park Güell.
Madrid,hotel,Only YOU Hotel Atocha,mid,"City: Madrid | Type: hotel | Name: Only YOU Hotel Atocha | Budget level: mid | Review: Stylish boutique hotel near Atocha station. Rooms from €100/night. Rooftop pool in summer, fantastic breakfast. Walking distance to Reina Sofía and Prado museums. Perfect base for culture lovers."
Madrid,hotel,Hostel One Madrid,budget,"City: Madrid | Type: hotel | Name: Hostel One Madrid | Budget level: budget | Review: Award-winning social hostel near Gran Vía. Dorms from €18/night. Free breakfast, free dinners with hostel drink. Regular pub crawls and social events. Solo travelers rave about community feel."
Madrid,restaurant,Sobrino de Botín,mid,"City: Madrid | Type: restaurant | Name: Sobrino de Botín | Budget level: mid | Review: World's oldest restaurant (1725) in La Latina. Cochinillo (suckling pig) €28, cordero asado €24. In Guinness World Records. Classic Castilian cuisine. Book in advance, especially on weekends."
Madrid,restaurant,Mercado de San Miguel,mid,"City: Madrid | Type: restaurant | Name: Mercado de San Miguel | Budget level: mid | Review: Beautiful iron and glass market near Plaza Mayor. Tapas from €2-8 each pintxo. Vermouth, fresh seafood, Spanish cheeses. Can get pricey but atmosphere is wonderful. Tourist-friendly but authentic."
Madrid,restaurant,Casa Revuelta,budget,"City: Madrid | Type: restaurant | Name: Casa Revuelta | Budget level: budget | Review: Legendary hole-in-the-wall bar in La Latina. Best bacalao (cod) fritters in Madrid at €1.80 each. Standing room only, cash only. Order a caña beer with your tapas. Local institution since 1966."
Madrid,attraction,Prado Museum,mid,"City: Madrid | Type: attraction | Name: Prado Museum | Budget level: mid | Review: Spain's greatest art museum. Tickets €15, free evenings 6-8pm. Velázquez Las Meninas, Goya Black Paintings, El Greco. Allow 3-4 hours. Book free evening slot online in advance."
Madrid,attraction,Reina Sofía Museum,mid,"City: Madrid | Type: attraction | Name: Reina Sofía Museum | Budget level: mid | Review: Modern art museum with Picasso's Guernica. Ticket €12, free Mon/Wed-Sat evenings and Sundays until 2:30pm. Dalí, Miró collections also excellent. Free entry times get crowded."
Madrid,attraction,Retiro Park,budget,"City: Madrid | Type: attraction | Name: Retiro Park | Budget level: budget | Review: Madrid's magnificent free park. Row boats on lake €6/hour. Crystal Palace free gallery inside. Sunday outdoor performances often free. Families, runners, couples all love this green oasis."
Madrid,tip,Madrid Budget Tips,budget,City: Madrid | Type: tip | Name: Madrid Budget Tips | Budget level: budget | Review: Madrid tips: Tapas culture means free food with drinks at many bars in La Latina. Lunch Menu del Día €10-13 is best value. Metro 10-trip card €12.20. Many major museums have free entry times.
New York,hotel,Pod 51 Hotel,budget,"City: New York | Type: hotel | Name: Pod 51 Hotel | Budget level: budget | Review: Affordable micro-room hotel in Midtown. Rooms from $100/night. Small but smart design, great rooftop views. Perfect location walking to Grand Central and Times Square. No frills but clean and modern."
New York,hotel,The High Line Hotel,mid,"City: New York | Type: hotel | Name: The High Line Hotel | Budget level: mid | Review: Charming boutique hotel in Chelsea. Rooms from $250/night. Beautiful courtyard, close to High Line park. Stylish design, excellent service. Popular with design-conscious couples and foodies."
New York,hotel,The Plaza Hotel,luxury,"City: New York | Type: hotel | Name: The Plaza Hotel | Budget level: luxury | Review: Legendary 5-star hotel facing Central Park since 1907. Rooms from $1000/night. Afternoon tea in Palm Court, iconic Oak Room bar. Pure New York luxury and history. Special occasion splurge."
New York,restaurant,Katz's Delicatessen,budget,"City: New York | Type: restaurant | Name: Katz's Delicatessen | Budget level: budget | Review: NYC institution since 1888 on the Lower East Side. Pastrami sandwich $28 (huge, shareable). Made famous by When Harry Met Sally. Cash preferred. Long lines move fast. Essential New York food experience."
New York,restaurant,Joe's Pizza,budget,"City: New York | Type: restaurant | Name: Joe's Pizza | Budget level: budget | Review: Best classic New York slice in Greenwich Village. Single slice $3-4, large pie $16. Thin crust, perfect cheese pull, crispy bottom. Cash only. The benchmark for NYC pizza. Quick and cheap."
New York,restaurant,Le Bernardin,luxury,"City: New York | Type: restaurant | Name: Le Bernardin | Budget level: luxury | Review: Eric Ripert's three Michelin-star seafood temple in Midtown. Tasting menu $195. Best seafood dining in NYC, possibly in USA. Business formal dress code. Exceptional wine pairings available."
New York,restaurant,Smorgasburg Williamsburg,budget,"City: New York | Type: restaurant | Name: Smorgasburg Williamsburg | Budget level: budget | Review: Massive outdoor food market in Williamsburg on weekends. 100+ local vendors, dishes $5-15. Ramen burgers, lobster rolls, international street food. Free admission. Brooklyn food culture at its best."
New York,attraction,Central Park,budget,"City: New York | Type: attraction | Name: Central Park | Budget level: budget | Review: 843 acres of free urban paradise. Rowboat rentals $15-20/hour, bike rentals nearby. Strawberry Fields, Bethesda Fountain, Sheep Meadow. Free concerts in summer. Perfect for families and all travelers."
New York,attraction,Metropolitan Museum of Art,mid,"City: New York | Type: attraction | Name: Metropolitan Museum of Art | Budget level: mid | Review: World-class art museum on Fifth Avenue. Suggested admission $30 (technically pay what you wish for NY residents). Egyptian Temple of Dendur, Impressionist galleries, American Wing. Allow full day."
New York,attraction,High Line Park,budget,"City: New York | Type: attraction | Name: High Line Park | Budget level: budget | Review: Free elevated park built on old railway line in Chelsea. Great views of Hudson River and city skyline. Art installations, seasonal planting. Perfect for couples and solo walkers. Open dawn to dusk."
New York,attraction,Brooklyn Bridge,budget,City: New York | Type: attraction | Name: Brooklyn Bridge | Budget level: budget | Review: Walk across the iconic bridge for free - takes about 30 minutes one way. Beautiful views of Manhattan skyline and East River. Visit from DUMBO side for best bridge photos. Go at sunrise or sunset.
New York,tip,New York Budget Tips,budget,City: New York | Type: tip | Name: New York Budget Tips | Budget level: budget | Review: NYC tips: 7-day MetroCard $34 unlimited subway. Free Staten Island Ferry has best Statue of Liberty views. NYC CityPASS $142 covers top 5 attractions. Happy hour drinks from 4-7pm at many bars. Free outdoor concerts in summer.
New Delhi,hotel,The Imperial New Delhi,luxury,"City: New Delhi | Type: hotel | Name: The Imperial New Delhi | Budget level: luxury | Review: Historic 5-star colonial hotel in Connaught Place. Rooms from $300/night. Stunning 1930s heritage architecture, outstanding service, excellent restaurants. Delhi's most iconic luxury address for decades."
New Delhi,hotel,Zostel Delhi,budget,"City: New Delhi | Type: hotel | Name: Zostel Delhi | Budget level: budget | Review: Best budget hostel in Paharganj near New Delhi station. Dorms from ₹500/night (€6). Social atmosphere, helpful staff for travel advice. Perfect base for exploring Old Delhi and onward travel."
New Delhi,hotel,Lutyens Bungalow,mid,"City: New Delhi | Type: hotel | Name: Lutyens Bungalow | Budget level: mid | Review: Charming colonial bungalow hotel in Lutyens Delhi. Rooms from $80/night. Beautiful garden, home-cooked Indian meals. Quiet and authentic, feels like staying in a private home. Excellent hospitality."
New Delhi,restaurant,Karim's Jama Masjid,budget,"City: New Delhi | Type: restaurant | Name: Karim's Jama Masjid | Budget level: budget | Review: Legendary Mughlai restaurant near Jama Masjid in Old Delhi since 1913. Mutton korma ₹250, seekh kebabs ₹200, chicken jahangiri ₹300. Authentic flavors unchanged for over 100 years. Cash only."
New Delhi,restaurant,Indian Accent,luxury,"City: New Delhi | Type: restaurant | Name: Indian Accent | Budget level: luxury | Review: Best fine dining in Delhi, consistently on Asia's 50 Best list. Modern Indian tasting menu ₹3500-5000. Chef Manish Mehrotra's creative cuisine is extraordinary. Book weeks ahead. Phenomenal wine list."
New Delhi,restaurant,Paranthe Wali Gali Chandni Chowk,budget,"City: New Delhi | Type: restaurant | Name: Paranthe Wali Gali Chandni Chowk | Budget level: budget | Review: Famous alley in Chandni Chowk with only paratha restaurants since 1875. Stuffed parathas with various fillings ₹80-150. Mango, banana, khoya, and many vegetable fillings. Unique Old Delhi street food experience."
New Delhi,restaurant,Bukhara ITC Maurya,luxury,"City: New Delhi | Type: restaurant | Name: Bukhara ITC Maurya | Budget level: luxury | Review: World-famous North Indian restaurant at ITC Maurya, rated among world's best. Dal Bukhara ₹1200, tandoori meats exceptional. Clinton, Obama, Dalai Lama have dined here. Rustic atmosphere, outstanding food."
New Delhi,attraction,Taj Mahal Agra,mid,"City: New Delhi | Type: attraction | Name: Taj Mahal Agra | Budget level: mid | Review: Wonder of the World, 2.5 hours from Delhi by train or car. Foreign tourist ticket ₹1300. Go at sunrise for magical views. Book Gatimaan Express train from New Delhi station. Allow half day minimum."
New Delhi,attraction,Humayun's Tomb,budget,"City: New Delhi | Type: attraction | Name: Humayun's Tomb | Budget level: budget | Review: Magnificent Mughal mausoleum that inspired the Taj Mahal. Ticket ₹600 for foreigners. Beautiful Persian gardens, stunning architecture. Less crowded than Taj but equally impressive. UNESCO World Heritage Site."
New Delhi,attraction,Qutub Minar,budget,"City: New Delhi | Type: attraction | Name: Qutub Minar | Budget level: budget | Review: World's tallest brick minaret at 73m. Ticket ₹600. UNESCO World Heritage Site in South Delhi. Beautiful Mughal garden complex, Iron Pillar mystery. Less touristic than other sites. Worth half day."
New Delhi,attraction,Chandni Chowk Old Delhi,budget,"City: New Delhi | Type: attraction | Name: Chandni Chowk Old Delhi | Budget level: budget | Review: Chaotic, colorful 17th-century market bazaar. Free to explore. Spice market, silver market, electronics, textiles, street food. Cycle rickshaw tour ₹300 is best way to explore. Visit Jama Masjid nearby."
New Delhi,tip,New Delhi Budget Tips,budget,City: New Delhi | Type: tip | Name: New Delhi Budget Tips | Budget level: budget | Review: Delhi tips: Delhi Metro Day card ₹200 covers most sights. Ola/Uber rickshaw cheaper than taxis. Eat thali meals at local dhabas for ₹80-150. Carry cash as many local places don't accept cards. Haggle at Dilli Haat market.
